Landfill_SRR22315506_METASPADES_scaffold_85589	Landfill_SRR22315506_METASPADES_scaffold_85589
RL11_scaffold_67168	RL11_scaffold_67168
BML_08012017_8_0m_scaffold_8989	BML_08012017_8_0m_scaffold_8989
Sorghum_2023_10_09_115CM_NK300_R1_metaspades_scaffold_25524	Sorghum_2023_10_09_115CM_NK300_R1_metaspades_scaffold_25524
ERMLT660_2_scaffold_4670	ERMLT660_2_scaffold_4670
Petroleum-contam_soil_SRR29383098_scaffold_8133	Petroleum-contam_soil_SRR29383098_scaffold_8133
Petroleum-contam_soil_SRR29383098_scaffold_8328	Petroleum-contam_soil_SRR29383098_scaffold_8328
L1a1_full_idba_ud_scaffold_16083	L1a1_full_idba_ud_scaffold_16083
CG_4_9_14_3_um_filter_150_scaffold_28133	CG_4_9_14_3_um_filter_150_scaffold_28133
SacSanJoaqDelta_MD10A_3_2024_scaffold_275792	SacSanJoaqDelta_MD10A_3_2024_scaffold_275792
BD02T18_scaffold_6334	BD02T18_scaffold_6334
SacSanJoaqDelta_ORI_4_2024_scaffold_64072	SacSanJoaqDelta_ORI_4_2024_scaffold_64072
ERMGT138_2_scaffold_5594	ERMGT138_2_scaffold_5594
OG3_scaffold_10127	OG3_scaffold_10127
ERMGT200_2_scaffold_1999	ERMGT200_2_scaffold_1999
LFLS_Au_Groundwater_PRJEB14718_scaffold_65659	LFLS_Au_Groundwater_PRJEB14718_scaffold_65659
SW_scaffold_54652	SW_scaffold_54652
BML_08012017_8_0m_scaffold_5767	BML_08012017_8_0m_scaffold_5767
SR-VP_9_9_2021_31_2B_1_5m_scaffold_14874	SR-VP_9_9_2021_31_2B_1_5m_scaffold_14874
amazon_plume_scaffold_30033	amazon_plume_scaffold_30033
LacPavin_0920_SED3_scaffold_3042952	LacPavin_0920_SED3_scaffold_3042952
LacPavin_0920_SED3_scaffold_3042952	LacPavin_0920_SED4_scaffold_1558628
PH2017_19_SFW_U_A_scaffold_3254	PH2017_19_SFW_U_A_scaffold_3254
PH2017_19_SFW_U_A_scaffold_3254	PH2017_19_SFW_U_A_scaffold_3484
2013_100cm_scaffold_70210	2013_100cm_scaffold_70210
CG_2015-11_scaffold_23672	CG_2015-11_scaffold_23672
FFC_04162018_0_2um_scaffold_12072	FFC_04162018_0_2um_scaffold_12072
rifoxyd1_full_scaffold_9097	rifoxyd1_full_scaffold_9097
SW_scaffold_57191	SW_scaffold_57191
WaterYear_HB5_D1_25777431	WaterYear_HB5_D1_25777431
L3a1_full_idba_ud_scaffold_11343	L3a1_full_idba_ud_scaffold_11343
PAFVLPS_2018_J30_2_scaffold_9753	PAFVLPS_2018_J30_2_scaffold_9753
RifSed_csp1_19ft_4_scaffold_89240	RifSed_csp1_19ft_4_scaffold_89240
RifSed_csp1_19ft_4_scaffold_89240	rifcsp2_19_4_full_scaffold_78386
SR-VP_26_10_2019_2_100cm_scaffold_22609	SR-VP_26_10_2019_2_100cm_scaffold_22609
BML_08042016_6_5m_scaffold_3704	BML_08042016_6_5m_scaffold_3704
WaterYear_HC4_D1_23083734	WaterYear_HC4_D1_23083734
L3c2_full_scaffold_52107	L3c2_full_scaffold_52107
WaterYear_AB3_D1_26753353	WaterYear_AB3_D1_26753353
SR-VP_9_9_2021_31_2B_1_5m_scaffold_16054	SR-VP_9_9_2021_31_2B_1_5m_scaffold_16054
SR-VP_9_9_2021_31_2B_1_5m_scaffold_16054	SR-VP_9_9_2021_72_4B_1_05m_2_METASPADES_scaffold_91666
14_0919_12_20cm_scaffold_123278	14_0919_12_20cm_scaffold_123278
SR-VP_0-2_scaffold_141_675394	SR-VP_0-2_scaffold_141_675394
SCNpilot_cont_1000_bf_scaffold_7732	SCNpilot_cont_1000_bf_scaffold_7732
SCNpilot_cont_1000_bf_scaffold_7732	SCNpilot_cont_500_bf_scaffold_11829
SCNpilot_cont_1000_bf_scaffold_7732	SCNpilot_bf_inoc_redo_scaffold_15775
SCNpilot_BF_INOC_scaffold_11091	SCNpilot_BF_INOC_scaffold_11091
SCNpilot_BF_INOC_scaffold_11091	SCNpilot_cont_500_bf_scaffold_9592
RTP_11222018_0_1um_scaffold_5808	RTP_11222018_0_1um_scaffold_5808
Salt_Pond_R2_B_D1_MG_scaffold_15021	Salt_Pond_R2_B_D1_MG_scaffold_15021
BML_05172017_1_5m_scaffold_2950	BML_05172017_1_5m_scaffold_2950
PH2017_24_DOB_U_A_scaffold_777	PH2017_24_DOB_U_A_scaffold_777
PH2017_38_RDM_U_B_scaffold_1332	PH2017_38_RDM_U_B_scaffold_1332
Petaluma_2024_02_07_S7_P2_40-60cm_con_41628	Petaluma_2024_02_07_S7_P2_40-60cm_con_41628
SW_scaffold_61869	SW_scaffold_61869
SR-VP_07_25_2022_A1_95cm_scaffold_59758	SR-VP_07_25_2022_A1_95cm_scaffold_59758
SR-VP_07_25_2022_A1_95cm_scaffold_59758	SR-VP_07_25_2022_C_115cm_scaffold_57620
SR-VP_07_25_2022_A1_95cm_scaffold_59758	SR-VP_09_04_2021_42cm_megahit_scaffold_1406229
EPICON_soil_control_metaspades_scaffold_26834	EPICON_soil_control_metaspades_scaffold_26834
MarineFeMat_664_BS3_NODE_10080	MarineFeMat_664_BS3_NODE_10080
S_p1_S3_170907_scaffold_1072612	S_p1_S3_170907_scaffold_1072612
BC_09192017_0_5m_scaffold_44153	BC_09192017_0_5m_scaffold_44153
GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_41801	GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_41801
RPR_22_05_09_4_k127_11192352	RPR_22_05_09_4_k127_11192352
Salt_Pond_R2_restored_DShore_MG_scaffold_14836	Salt_Pond_R2_restored_DShore_MG_scaffold_14836
StrawberryCreek_0_1_micro_water_09_04_2025_scaffold_113797	StrawberryCreek_0_1_micro_water_09_04_2025_scaffold_113797
BML_10242017_9_75m_scaffold_8215	BML_10242017_9_75m_scaffold_8215
rifcsplowo2_12_scaffold_136424	rifcsplowo2_12_scaffold_136424
Salt_Pond_R2_A_D2_MG_scaffold_12533	Salt_Pond_R2_A_D2_MG_scaffold_12533
SR-VP_07_25_2022_A1_115cm_MG_illumina_23519	SR-VP_07_25_2022_A1_115cm_MG_illumina_23519
BML_05172017_9_9m_scaffold_4701	BML_05172017_9_9m_scaffold_4701
GD2_1_scaffold_15839	GD2_1_scaffold_15839
SW_scaffold_66939	SW_scaffold_66939
RPR_SA_C2_k141_763601	RPR_SA_C2_k141_763601
Quanzhou_Groundwater_SRR22387909_scaffold_22260	Quanzhou_Groundwater_SRR22387909_scaffold_22260
SRVP19_core_2_viral_idba_scaffold_27011	SRVP19_core_2_viral_idba_scaffold_27011
SRVP19_core_2_viral_idba_scaffold_27011	SR-VP_11_27_2022_S2_40cm_scaffold_32691
CG_2015-23_scaffold_19506	CG_2015-23_scaffold_19506
BML_coassembly_scaffold_51678	BML_coassembly_scaffold_51678
RifSed_csp1_13ft_2_scaffold_42941	RifSed_csp1_13ft_2_scaffold_42941
EastRiver_HyporheicZone_Rock_R_2021_07_10_280759_length_1108_cov_0.666667	EastRiver_HyporheicZone_Rock_R_2021_07_10_280759_length_1108_cov_0.666667
QZM_A3_scaffold_101493	QZM_A3_scaffold_101493
LakeTyrrell_22_A_5_coassembly_scaffold_468778	LakeTyrrell_22_A_5_coassembly_scaffold_468778
EastRiver_HyporheicZone_Rock_HZ_C_2021_07_10_415394_length_1100_cov_1.000000	EastRiver_HyporheicZone_Rock_HZ_C_2021_07_10_415394_length_1100_cov_1.000000
SPOT_01_16_2013_890_MG_83979	SPOT_01_16_2013_890_MG_83979
GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_217560	GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_217560
Salt_Pond_SF2_B_H2O_MG_scaffold_97650	Salt_Pond_SF2_B_H2O_MG_scaffold_97650
PH2017_40_RAT_O_B_scaffold_4183	PH2017_40_RAT_O_B_scaffold_4183
GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_219383	GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_219383
GOSHIP-P18_177_1_22_180S_60m_97789	GOSHIP-P18_177_1_22_180S_60m_97789
09mi20_z1_2019_ig18392_101411	09mi20_z1_2019_ig18392_101411
SR-VP_9_9_2021_72_4B_1_05m_2_METASPADES_scaffold_763724	SR-VP_9_9_2021_72_4B_1_05m_2_METASPADES_scaffold_763724
SW_scaffold_461734	SW_scaffold_461734
Woodland_soil_ERR12076168_scaffold_101101	Woodland_soil_ERR12076168_scaffold_101101
S30_BME30_1993261	S30_BME30_1993261
Salt_Pond_R1_C_H2O_MG_scaffold_71567	Salt_Pond_R1_C_H2O_MG_scaffold_71567
AB_062018_0_1um_scaffold_23930	AB_062018_0_1um_scaffold_23930
SR-VP_05_06_2024_coassembly_scaffold_2535307	SR-VP_05_06_2024_coassembly_scaffold_2535307
CG18_big_fil_WC_8_21_14_2.50_150_scaffold_95636	CG18_big_fil_WC_8_21_14_2.50_150_scaffold_95636
ALT_082018_0_1um_scaffold_127699	ALT_082018_0_1um_scaffold_127699
GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_732549	GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_732549
PAFVLPS_2018_scaffold_1032609	PAFVLPS_2018_scaffold_1032609
Site2_T1_413361	Site2_T1_413361
RifSed_csp1_16ft_2_scaffold_331150	RifSed_csp1_16ft_2_scaffold_331150
LacPavin_0920_SED3_scaffold_2247005	LacPavin_0920_SED3_scaffold_2247005
SW_scaffold_468604	SW_scaffold_468604
ERMGT319_2_scaffold_8558	ERMGT319_2_scaffold_8558
CV_S3_4_15821	CV_S3_4_15821
Landfill_SRR22315508_scaffold_1189953	Landfill_SRR22315508_scaffold_1189953
Mangrove_60-80cm_incl_SRR17658263_scaffold_663894	Mangrove_60-80cm_incl_SRR17658263_scaffold_663894
EastRiver_HyporheicZone_EAQ_HZ_2020_08_16_545199_length_1069_cov_1.599788	EastRiver_HyporheicZone_EAQ_HZ_2020_08_16_545199_length_1069_cov_1.599788
EastRiver_HyporheicZone_EAQ_HZ_B_2021_07_06_265262_length_1069_cov_0.682590	EastRiver_HyporheicZone_EAQ_HZ_B_2021_07_06_265262_length_1069_cov_0.682590
LacPavin_0419_WC53_scaffold_271424	LacPavin_0419_WC53_scaffold_271424
RHP_09252018_0_1um_scaffold_114924	RHP_09252018_0_1um_scaffold_114924
H2a2_full_idba_ud_scaffold_110219	H2a2_full_idba_ud_scaffold_110219
rattlesnake_spring_18_scaffold_450615	rattlesnake_spring_18_scaffold_450615
AB_092018_0_1um_scaffold_125262	AB_092018_0_1um_scaffold_125262
WaterYear_AB7_D1_17372965	WaterYear_AB7_D1_17372965
Landfill_SRR22315504_scaffold_764250	Landfill_SRR22315504_scaffold_764250
SR-VP_9_9_2021_52_3B_1_55m_scaffold_142997	SR-VP_9_9_2021_52_3B_1_55m_scaffold_142997
EastRiver_HyporheicZone_EAQ_HZ_C_2021_07_06_398034_length_1054_cov_1.033441	EastRiver_HyporheicZone_EAQ_HZ_C_2021_07_06_398034_length_1054_cov_1.033441
EastRiver_HyporheicZone_EAQ_HZ_C_2021_07_06_398034_length_1054_cov_1.033441	EastRiver_HyporheicZone_EAQ_C_coassembly_1582013
WaterYear_AB4_D1_20536630	WaterYear_AB4_D1_20536630
SR-VP_9_9_2021_72_4B_1_05m_2_METASPADES_scaffold_802203	SR-VP_9_9_2021_72_4B_1_05m_2_METASPADES_scaffold_802203
LacPavin_0920_SED5_scaffold_2110389	LacPavin_0920_SED5_scaffold_2110389
GOSHIP-P18_185_1_22_204S_54m_2_178283	GOSHIP-P18_185_1_22_204S_54m_2_178283
GOSHIP-P18_185_1_22_204S_54m_2_178283	GOSHIP-P18_177_1_22_180S_60m_2_128020
SP6_scaffold_111125	SP6_scaffold_111125
GOSHIP-P18_177_1_22_180S_60m_104262	GOSHIP-P18_177_1_22_180S_60m_104262
GOSHIP-P18_177_1_22_180S_60m_104262	GOSHIP-P18_177_1_22_180S_60m_2_107225
SR-VP_9_9_2021_52_3B_1_55m_scaffold_146499	SR-VP_9_9_2021_52_3B_1_55m_scaffold_146499
SRVP19_core_2_viral_idba_scaffold_174375	SRVP19_core_2_viral_idba_scaffold_174375
PH2015_10_idba_ud_scaffold_17433	PH2015_10_idba_ud_scaffold_17433
GuaymasBasin_2024_04_23_Crock_NAcm_D5264_under_646461	GuaymasBasin_2024_04_23_Crock_NAcm_D5264_under_646461
RES_21_08_16_R3_RHZ_MG_338083	RES_21_08_16_R3_RHZ_MG_338083
MarineFeMat_S19_NODE_167087	MarineFeMat_S19_NODE_167087
PH2017_40_RAT_O_B_scaffold_4223	PH2017_40_RAT_O_B_scaffold_4223
GOSHIP-P18_157_2_23_121S_40m_2_135249	GOSHIP-P18_157_2_23_121S_40m_2_135249
SW_scaffold_491504	SW_scaffold_491504
GD2_1_scaffold_94190	GD2_1_scaffold_94190
SW_scaffold_494800	SW_scaffold_494800
AWTP2_CTRL_RO2_BIOFILM_1_1939	AWTP2_CTRL_RO2_BIOFILM_1_1939
GuaymasBasin_2018_11_20_CC5_5-10cm_D4993_2378575	GuaymasBasin_2018_11_20_CC5_5-10cm_D4993_2378575
Landfill_SRR22315509_scaffold_1226942	Landfill_SRR22315509_scaffold_1226942
StrawberryCreek_site_D_sediment_09_04_2025_scaffold_4047421	StrawberryCreek_site_D_sediment_09_04_2025_scaffold_4047421
BML_coassembly_scaffold_298447	BML_coassembly_scaffold_298447
BML_coassembly_scaffold_298447	BML_08022017_1_5m_scaffold_26673
AB_092018_0_1um_scaffold_132015	AB_092018_0_1um_scaffold_132015
Quanzhou_Groundwater_SRR22387909_scaffold_151275	Quanzhou_Groundwater_SRR22387909_scaffold_151275
RPR_I_C2_k141_856663	RPR_I_C2_k141_856663
CG_2015-0102_scaffold_163815	CG_2015-0102_scaffold_163815
CG18_big_fil_WC_8_21_14_2.50_150_scaffold_102860	CG18_big_fil_WC_8_21_14_2.50_150_scaffold_102860
SPOT_09_10_2014_890_MG_100141	SPOT_09_10_2014_890_MG_100141
PH2017_35_SFW_U_B_scaffold_27425	PH2017_35_SFW_U_B_scaffold_27425
EastRiver_HyporheicZone_EAQ_HZ_A_2021_07_13_376451_length_1028_cov_1.228635	EastRiver_HyporheicZone_EAQ_HZ_A_2021_07_13_376451_length_1028_cov_1.228635
CyanoCom_Pilot_21_06_03_MG20_idba_mink40_scaffold_101751	CyanoCom_Pilot_21_06_03_MG20_idba_mink40_scaffold_101751
ERMLT466_2_scaffold_21266	ERMLT466_2_scaffold_21266
Oak_Ridge_Sediment_SRR25508674_scaffold_258309	Oak_Ridge_Sediment_SRR25508674_scaffold_258309
Salt_Pond_R2_C_D2_MG_scaffold_115821	Salt_Pond_R2_C_D2_MG_scaffold_115821
JBCH_GD18_4_SO25_S179_scaffold_763410	JBCH_GD18_4_SO25_S179_scaffold_763410
CG_4_10_14_3_um_filter_scaffold_146890	CG_4_10_14_3_um_filter_scaffold_146890
CG_4_10_14_3_um_filter_scaffold_146890	CG_4_10_14_0.2_scaffold_101337
GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_794929	GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_794929
SacSanJoaqDelta_P8_8_2024_scaffold_106297	SacSanJoaqDelta_P8_8_2024_scaffold_106297
RES_21_07_07_R2_DP_MG_273102	RES_21_07_07_R2_DP_MG_273102
Landfill_SRR22315508_scaffold_1334864	Landfill_SRR22315508_scaffold_1334864
RES_21_07_07_R1_DP_MG_291300	RES_21_07_07_R1_DP_MG_291300
LAC_NA08_scaffold_43414	LAC_NA08_scaffold_43414
RES_21_09_03_R1_M1_MG_374607	RES_21_09_03_R1_M1_MG_374607
LacPavin_0818_WC45_scaffold_649690	LacPavin_0818_WC45_scaffold_649690
GOSHIP-P18_121_1_22_11L_69m_11374	GOSHIP-P18_121_1_22_11L_69m_11374
Salt_Pond_R2_B_D2_MG_scaffold_222089	Salt_Pond_R2_B_D2_MG_scaffold_222089
Salt_Pond_R1_C_H2O_MG_scaffold_79606	Salt_Pond_R1_C_H2O_MG_scaffold_79606
RiceMega_All12CReps_PSY2_illumina_305829	RiceMega_All12CReps_PSY2_illumina_305829
RifSed_csp2_10ft_1_scaffold_516668	RifSed_csp2_10ft_1_scaffold_516668
Rotsee_Lake_ERR3687824_contig-140_166136	Rotsee_Lake_ERR3687824_contig-140_166136
SPOT_08_14_2013_890_MG_84770	SPOT_08_14_2013_890_MG_84770
SCNpilot_bf_inoc_redo_scaffold_43539	SCNpilot_bf_inoc_redo_scaffold_43539
CyanoCom_Pilot_21_06_03_MG21_spades_scaffold_109764	CyanoCom_Pilot_21_06_03_MG21_spades_scaffold_109764
Nantong_Groundwater_SRR22387873_scaffold_376414	Nantong_Groundwater_SRR22387873_scaffold_376414
Nantong_Groundwater_SRR22387873_scaffold_376414	Nantong_Groundwater_SRR22387873_scaffold_346753
EastRiver_HyporheicZone_EAQ_HZ_B_2021_07_06_330783_length_1006_cov_1.116041	EastRiver_HyporheicZone_EAQ_HZ_B_2021_07_06_330783_length_1006_cov_1.116041
Petroleum-contam_soil_SRR29383098_scaffold_10782	Petroleum-contam_soil_SRR29383098_scaffold_10782
RPR_22_05_09_4_k127_3518707	RPR_22_05_09_4_k127_3518707
SW_scaffold_68354	SW_scaffold_68354
ERR3687830_scaffold_16859	ERR3687830_scaffold_16859
FFSP_072018_bottom_0_1um_scaffold_5406	FFSP_072018_bottom_0_1um_scaffold_5406
L3m1_full_idba_ud_scaffold_26545	L3m1_full_idba_ud_scaffold_26545
Endo_scaffold_9643	Endo_scaffold_9643
Rotsee_Lake_ERR3687824_contig-140_22086	Rotsee_Lake_ERR3687824_contig-140_22086
2013_100cm_scaffold_54355	2013_100cm_scaffold_54355
AWTP2_SAMPLE_RO2_BULK_3_47980	AWTP2_SAMPLE_RO2_BULK_3_47980
H24_Tanzania_scaffold_10759	H24_Tanzania_scaffold_10759
LacPavin_0920_SED2_scaffold_257667	LacPavin_0920_SED2_scaffold_257667
CG_2015-02_scaffold_36152	CG_2015-02_scaffold_36152
RL11_scaffold_98576	RL11_scaffold_98576
June2016WEW_17_150_megahit_scaffold_346831	June2016WEW_17_150_megahit_scaffold_346831
GuaymasBasin_2018_11_20_CC5_5-10cm_D4993_476014	GuaymasBasin_2018_11_20_CC5_5-10cm_D4993_476014
EastRiver_HyporheicZone_EAQ_HZ_A_2021_07_13_17590_length_3446_cov_2.793613	EastRiver_HyporheicZone_EAQ_HZ_A_2021_07_13_17590_length_3446_cov_2.793613
BML_08042016_6_5m_scaffold_19930	BML_08042016_6_5m_scaffold_19930
CG_2015-06_scaffold_30167	CG_2015-06_scaffold_30167
CG_2015-06_scaffold_30167	CG_2015-09_scaffold_25872
BML_E16_FWI_052019_Enrich_R2_scaffold_5445	BML_E16_FWI_052019_Enrich_R2_scaffold_5445
AWTP2_SAMPLE_BAC_BULK_4_41296	AWTP2_SAMPLE_BAC_BULK_4_41296
unicom2021_DBay_Inner_5um_Filter_idba_scaffold_33486	unicom2021_DBay_Inner_5um_Filter_idba_scaffold_33486
rifcsplowo2_01_scaffold_121487	rifcsplowo2_01_scaffold_121487
rifcsplowo2_01_scaffold_121487	rifcsplowo2_02_scaffold_89166
rifcsplowo2_01_scaffold_121487	rifcsphigho2_02_scaffold_112293
EastRiver_HyporheicZone_EAQ_R_2021_07_06_15295_length_3372_cov_1.385824	EastRiver_HyporheicZone_EAQ_R_2021_07_06_15295_length_3372_cov_1.385824
GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_48836	GuaymasBasin_2024_04_25_CC2_NAcm_D5266_melted_48836
L3c1_full_scaffold_3576	L3c1_full_scaffold_3576
GOSHIP-P18_161_1_14_128L_727m_8236	GOSHIP-P18_161_1_14_128L_727m_8236
BML_08042016_6_5m_scaffold_7596	BML_08042016_6_5m_scaffold_7596
MISA_10152018_0_1um_scaffold_3847	MISA_10152018_0_1um_scaffold_3847
RES_21_07_07_R3_DP_MG_23686	RES_21_07_07_R3_DP_MG_23686
RES_21_07_07_R3_DP_MG_23686	RES_21_09_03_R1_M2_MG_16218
15con1.8.AGTCAA_scaffold_63203	15con1.8.AGTCAA_scaffold_63203
L3a1_full_idba_ud_scaffold_9458	L3a1_full_idba_ud_scaffold_9458
Zodletone_Water_assembly2018_k141_163340	Zodletone_Water_assembly2018_k141_163340
LacPavin_0818_WC40_scaffold_1121920	LacPavin_0818_WC40_scaffold_1121920
CG_2015-22_scaffold_35928	CG_2015-22_scaffold_35928
GuaymasBasin_2018_11_20_CC5_5-10cm_D4993_529860	GuaymasBasin_2018_11_20_CC5_5-10cm_D4993_529860
SPOT_04_10_2014_890_MG_16646	SPOT_04_10_2014_890_MG_16646
SPOT_04_10_2014_890_MG_16646	SPOT_03_12_2015_890_MG_12054
GOSHIP-P18_185_1_22_204S_54m_15952	GOSHIP-P18_185_1_22_204S_54m_15952
WaterYear_HB9_D1_3472888	WaterYear_HB9_D1_3472888
WaterYear_HB9_D1_3472888	WaterYear_HC5_D1_11897463
StrawberryCreek_0_1_micro_water_09_04_2025_scaffold_156824	StrawberryCreek_0_1_micro_water_09_04_2025_scaffold_156824
WaterYear_AA9_D1_6607029	WaterYear_AA9_D1_6607029
GD18-4_B1_scaffold_66483	GD18-4_B1_scaffold_66483
Landfill_SRR22315506_METASPADES_scaffold_163644	Landfill_SRR22315506_METASPADES_scaffold_163644
QZM_A2_3_scaffold_15346	QZM_A2_3_scaffold_15346
EastRiver_HyporheicZone_PH_R_2021_07_08_16473_length_3101_cov_3.617350	EastRiver_HyporheicZone_PH_R_2021_07_08_16473_length_3101_cov_3.617350
LacPavin_0920_SED5_scaffold_1843139	LacPavin_0920_SED5_scaffold_1843139
SW_scaffold_88922	SW_scaffold_88922
SCNpilot_cont_300_bf_scaffold_34320	SCNpilot_cont_300_bf_scaffold_34320
SacSanJoaqDelta_SMS_1_2024_scaffold_180166	SacSanJoaqDelta_SMS_1_2024_scaffold_180166
JBCH_GD18_4_SO25_S179_scaffold_727913	JBCH_GD18_4_SO25_S179_scaffold_727913
SW_scaffold_90296	SW_scaffold_90296
QZM_A2_3_scaffold_15812	QZM_A2_3_scaffold_15812
PH2017_19_SFW_U_A_scaffold_5468	PH2017_19_SFW_U_A_scaffold_5468
SR-VP_Bioreactor_N_bot_05_17_2025_scaffold_158649	SR-VP_Bioreactor_N_bot_05_17_2025_scaffold_158649
LacPavin_0920_WC12_scaffold_562362	LacPavin_0920_WC12_scaffold_562362
EastRiver_HyporheicZone_EAQ_C_coassembly_226664	EastRiver_HyporheicZone_EAQ_C_coassembly_226664
EastRiver_HyporheicZone_PH_HZ_2021_07_08_14438_length_3006_cov_3.031261	EastRiver_HyporheicZone_PH_HZ_2021_07_08_14438_length_3006_cov_3.031261
Mad1_60_16_scaffold_66843	Mad1_60_16_scaffold_66843
Mad1_60_16_scaffold_66843	Mad1_100_16_scaffold_75331
Mad1_60_16_scaffold_66843	H1a2_full_idba_ud_scaffold_21890
BML_08012017_9_75m_scaffold_7047	BML_08012017_9_75m_scaffold_7047
SacSanJoaqDelta_MD10A_3_2024_scaffold_199927	SacSanJoaqDelta_MD10A_3_2024_scaffold_199927
CG_2015-09_scaffold_40481	CG_2015-09_scaffold_40481
EastRiver_HyporheicZone_EAQ_HZ_A_2021_07_06_24036_length_2944_cov_2.007100	EastRiver_HyporheicZone_EAQ_HZ_A_2021_07_06_24036_length_2944_cov_2.007100
EastRiver_HyporheicZone_EAQ_HZ_C_2021_07_13_51384_length_2941_cov_2.923241	EastRiver_HyporheicZone_EAQ_HZ_C_2021_07_13_51384_length_2941_cov_2.923241
SW_scaffold_96690	SW_scaffold_96690
SW_scaffold_96731	SW_scaffold_96731
EastRiver_08_08_2020_HR_Quigley_40805_length_2919_cov_89.299930	EastRiver_08_08_2020_HR_Quigley_40805_length_2919_cov_89.299930
SR-VP_07_25_2022_A1_70cm_scaffold_63207	SR-VP_07_25_2022_A1_70cm_scaffold_63207
BC_09192017_0_5m_scaffold_62901	BC_09192017_0_5m_scaffold_62901
SW_scaffold_99010	SW_scaffold_99010
PLM4_90_b1_sep16_scaffold_11116	PLM4_90_b1_sep16_scaffold_11116
GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_173084	GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_173084
anamox3_scaffold_16750	anamox3_scaffold_16750
09V250M02_2019_Ig17484_scaffold_18212	09V250M02_2019_Ig17484_scaffold_18212
SRR6159086_Lake_Superior_sediment_scaffold_29163	SRR6159086_Lake_Superior_sediment_scaffold_29163
StrawberryCreek_0_1_micro_water_09_04_2025_scaffold_186792	StrawberryCreek_0_1_micro_water_09_04_2025_scaffold_186792
SRVP19_core_2_viral_idba_scaffold_42002	SRVP19_core_2_viral_idba_scaffold_42002
BML_08182015_1_5m_scaffold_13965	BML_08182015_1_5m_scaffold_13965
WaterYear_HB9_D1_6070129	WaterYear_HB9_D1_6070129
Landfill_SRR22315509_scaffold_124809	Landfill_SRR22315509_scaffold_124809
JGI24724J26744_10025934	JGI24724J26744_10025934
GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_179343	GuaymasBasin_2024_04_24_CC8_6-9cm_D5265_179343
Salt_Pond_R2_B_D2_MG_scaffold_45225	Salt_Pond_R2_B_D2_MG_scaffold_45225
rifcsphigho2_12_scaffold_93657	rifcsphigho2_12_scaffold_93657
Salt_Pond_R2_A_H2O_MG_scaffold_19463	Salt_Pond_R2_A_H2O_MG_scaffold_19463
Salt_Pond_R2_A_H2O_MG_scaffold_19463	Salt_Pond_R2_B_H2O_MG_scaffold_13824
Landfill_SRR22315508_scaffold_158922	Landfill_SRR22315508_scaffold_158922
14_1009_16_30cm_scaffold_156911	14_1009_16_30cm_scaffold_156911
